timestamp,elapsed_time_min,temperature_degC,humidity_percent
2025-09-04 01:32:43,0.036944297949473064,23.0,51.0
2025-09-04 01:32:46,0.09155368407567342,23.0,51.0
2025-09-04 01:32:49,0.14616578022638957,23.0,51.0
2025-09-04 01:32:53,0.20077760219573976,23.0,51.0
2025-09-04 01:32:56,0.25538805723190305,23.0,51.0
2025-09-04 01:32:59,0.3099986751874288,23.0,51.0
2025-09-04 01:33:02,0.36460561752319337,23.0,51.0
2025-09-04 01:33:06,0.4192890246709188,23.0,51.0
2025-09-04 01:33:09,0.47389812469482423,23.0,51.0
2025-09-04 01:33:12,0.5285096208254496,23.0,51.0
2025-09-04 01:33:16,0.583121105035146,23.0,51.0
2025-09-04 01:33:19,0.6377298315366109,23.0,51.0
2025-09-04 01:33:22,0.6923417766888936,23.0,51.0
2025-09-04 01:33:25,0.7469558874766032,23.0,51.0
2025-09-04 01:33:29,0.8015674273173015,23.0,51.0
2025-09-04 01:33:32,0.856244933605194,23.0,51.0
2025-09-04 01:33:35,0.910862676302592,23.0,51.0
2025-09-04 01:33:39,0.9654729922612508,23.0,51.0
2025-09-04 01:33:42,1.0200780709584554,23.0,51.0
2025-09-04 01:33:45,1.0746846675872803,23.0,51.0
2025-09-04 01:33:48,1.1293676098187764,23.0,51.0
2025-09-04 01:33:52,1.1839784582455952,23.0,50.0
2025-09-04 01:33:55,1.2385878523190816,23.0,50.0
2025-09-04 01:33:58,1.2932001193364462,23.0,50.0
2025-09-04 01:34:01,1.3478091677029929,23.0,50.0
2025-09-04 01:34:05,1.402423083782196,23.0,50.0
2025-09-04 01:34:08,1.457097307840983,23.0,50.0
2025-09-04 01:34:11,1.511716330051422,23.0,50.0
2025-09-04 01:34:15,1.566323745250702,23.0,50.0
2025-09-04 01:34:18,1.6209331631660462,23.0,50.0
2025-09-04 01:34:21,1.6755459944407145,23.0,50.0
2025-09-04 01:34:24,1.73015296459198,23.0,50.0
2025-09-04 01:34:28,1.7847683270772299,23.0,50.0
2025-09-04 01:34:31,1.839376699924469,23.0,50.0
2025-09-04 01:34:34,1.8940577983856202,23.0,50.0
2025-09-04 01:34:38,1.9486692865689597,23.0,50.0
2025-09-04 01:34:41,2.003274389108022,23.0,50.0
2025-09-04 01:34:44,2.057888130346934,23.0,50.0
2025-09-04 01:34:47,2.1125006159146626,23.0,50.0
2025-09-04 01:34:51,2.1671122511227927,23.0,50.0
2025-09-04 01:34:54,2.221725670496623,23.0,50.0
2025-09-04 01:34:57,2.276408338546753,23.0,50.0
2025-09-04 01:35:00,2.331014883518219,23.0,50.0
2025-09-04 01:35:04,2.385627472400665,23.0,50.0
2025-09-04 01:35:07,2.4402347008387246,23.0,50.0
2025-09-04 01:35:10,2.4948454976081846,23.0,50.0
2025-09-04 01:35:14,2.549458078543345,23.0,50.0
2025-09-04 01:35:17,2.6040711681048077,23.0,50.0
2025-09-04 01:35:20,2.658680780728658,23.0,50.0
2025-09-04 01:35:23,2.713355068365733,23.0,50.0
2025-09-04 01:35:27,2.767970148722331,23.0,50.0
2025-09-04 01:35:30,2.8225813349088034,23.0,50.0
2025-09-04 01:35:33,2.8771968404452006,23.0,50.0
2025-09-04 01:35:37,2.9318036874135336,23.0,50.0
2025-09-04 01:35:40,2.986420249938965,23.0,50.0
2025-09-04 01:35:43,3.0410268743832907,23.0,50.0
2025-09-04 01:35:46,3.095635489622752,23.0,50.0
2025-09-04 01:35:50,3.150248086452484,23.0,50.0
2025-09-04 01:35:53,3.2049211978912355,23.0,50.0
2025-09-04 01:35:56,3.259543760617574,23.0,50.0
2025-09-04 01:35:59,3.3141454299290976,23.0,50.0
2025-09-04 01:36:03,3.36876118183136,23.0,50.0
2025-09-04 01:36:06,3.4233704884847005,23.0,50.0
2025-09-04 01:36:09,3.47798220316569,23.0,50.0
2025-09-04 01:36:13,3.532661135991414,23.0,50.0
2025-09-04 01:36:16,3.587277519702911,23.0,50.0
2025-09-04 01:36:19,3.6418821374575296,23.0,50.0
2025-09-04 01:36:22,3.6964971383412677,23.0,50.0
2025-09-04 01:36:26,3.75110285282135,23.0,50.0
2025-09-04 01:36:29,3.8057154178619386,23.0,50.0
2025-09-04 01:36:32,3.860333959261576,23.0,50.0
2025-09-04 01:36:35,3.9149391412734986,23.0,50.0
2025-09-04 01:36:39,3.9696216940879823,23.0,50.0
2025-09-04 01:36:42,4.024229180812836,23.0,50.0
2025-09-04 01:36:45,4.078839596112569,23.0,50.0
2025-09-04 01:36:49,4.133446315924327,23.0,50.0
2025-09-04 01:36:52,4.188062405586242,23.0,50.0
2025-09-04 01:36:55,4.2426705400149025,23.0,50.0
